,image,text
0,Phase_diagram_of_water_simplified.svg.png,What is the content of this image?
1,Phase_diagram_of_water_simplified.svg.png,Does this image show a Feynman diagram(s)?
2,Phase_diagram_of_water_simplified.svg.png,Does this image show something other than a Feynman diagram(s)?
3,Venn_diagram_gr_la_ru.svg.png,What is the content of this image?
4,Venn_diagram_gr_la_ru.svg.png,Does this image show a Feynman diagram(s)?
5,Venn_diagram_gr_la_ru.svg.png,Does this image show something other than a Feynman diagram(s)?
6,structure3.jpg,What is the content of this image?
7,structure3.jpg,Does this image show a Feynman diagram(s)?
8,structure3.jpg,Does this image show something other than a Feynman diagram(s)?
9,ziggurat2.jpg,What is the content of this image?
10,ziggurat2.jpg,Does this image show a Feynman diagram(s)?
11,ziggurat2.jpg,Does this image show something other than a Feynman diagram(s)?
12,VarPrincHamilton.jpg,What is the content of this image?
13,VarPrincHamilton.jpg,Does this image show a Feynman diagram(s)?
14,VarPrincHamilton.jpg,Does this image show something other than a Feynman diagram(s)?
15,cxn_HH.jpg,What is the content of this image?
16,cxn_HH.jpg,Does this image show a Feynman diagram(s)?
17,cxn_HH.jpg,Does this image show something other than a Feynman diagram(s)?
18,algorithm.jpg,What is the content of this image?
19,algorithm.jpg,Does this image show a Feynman diagram(s)?
20,algorithm.jpg,Does this image show something other than a Feynman diagram(s)?
21,sunset-tad.jpg,What is the content of this image?
22,sunset-tad.jpg,Does this image show a Feynman diagram(s)?
23,sunset-tad.jpg,Does this image show something other than a Feynman diagram(s)?
24,Tensor_train.png,What is the content of this image?
25,Tensor_train.png,Does this image show a Feynman diagram(s)?
26,Tensor_train.png,Does this image show something other than a Feynman diagram(s)?
27,ud_udg_eta_pt_min_w02000GeV_ptl020GeV_pth200GeV.jpg,What is the content of this image?
28,ud_udg_eta_pt_min_w02000GeV_ptl020GeV_pth200GeV.jpg,Does this image show a Feynman diagram(s)?
29,ud_udg_eta_pt_min_w02000GeV_ptl020GeV_pth200GeV.jpg,Does this image show something other than a Feynman diagram(s)?
30,Penrose_covariant_derivate.svg.png,What is the content of this image?
31,Penrose_covariant_derivate.svg.png,Does this image show a Feynman diagram(s)?
32,Penrose_covariant_derivate.svg.png,Does this image show something other than a Feynman diagram(s)?
33,Jablonski_Diagram_of_Fluorescence_Only-en.svg.png,What is the content of this image?
34,Jablonski_Diagram_of_Fluorescence_Only-en.svg.png,Does this image show a Feynman diagram(s)?
35,Jablonski_Diagram_of_Fluorescence_Only-en.svg.png,Does this image show something other than a Feynman diagram(s)?
36,Screenshot 2024-02-28 at 8.58.56 PM.png,What is the content of this image?
37,Screenshot 2024-02-28 at 8.58.56 PM.png,Does this image show a Feynman diagram(s)?
38,Screenshot 2024-02-28 at 8.58.56 PM.png,Does this image show something other than a Feynman diagram(s)?
39,spectrum-1.jpg,What is the content of this image?
40,spectrum-1.jpg,Does this image show a Feynman diagram(s)?
41,spectrum-1.jpg,Does this image show something other than a Feynman diagram(s)?
42,2560px-Matrix_product_state_obc_tikz.svg.png,What is the content of this image?
43,2560px-Matrix_product_state_obc_tikz.svg.png,Does this image show a Feynman diagram(s)?
44,2560px-Matrix_product_state_obc_tikz.svg.png,Does this image show something other than a Feynman diagram(s)?
45,Valence8_ZD_integrability.jpg,What is the content of this image?
46,Valence8_ZD_integrability.jpg,Does this image show a Feynman diagram(s)?
47,Valence8_ZD_integrability.jpg,Does this image show something other than a Feynman diagram(s)?
48,2560px-Edwards-Venn-five.svg.png,What is the content of this image?
49,2560px-Edwards-Venn-five.svg.png,Does this image show a Feynman diagram(s)?
50,2560px-Edwards-Venn-five.svg.png,Does this image show something other than a Feynman diagram(s)?
51,M_loom.jpg,What is the content of this image?
52,M_loom.jpg,Does this image show a Feynman diagram(s)?
53,M_loom.jpg,Does this image show something other than a Feynman diagram(s)?
54,AdSRindlerTensorNetwork.jpg,What is the content of this image?
55,AdSRindlerTensorNetwork.jpg,Does this image show a Feynman diagram(s)?
