,image,text,output,output_parsed,labels,acc
0,diagram_1.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.,2.0,1.0,False
1,diagram_1.png,How many external legs are there in the diagram?,There are three external legs in the diagram.,3.0,4.0,False
2,diagram_1.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.,3.0,4.0,False
3,diagram_1.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.,3.0,4.0,False
4,diagram_1.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.,2.0,3.0,False
5,diagram_10.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.,3.0,2.0,False
6,diagram_10.png,How many external legs are there in the diagram?,There are six external legs in the diagram.,6.0,5.0,False
7,diagram_10.png,How many internal edges are there in the diagram?,There are six internal edges in the diagram.,6.0,7.0,False
8,diagram_10.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.,3.0,6.0,False
9,diagram_10.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.,3.0,1.0,False
10,diagram_100.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.,3.0,2.0,False
11,diagram_100.png,How many external legs are there in the diagram?,There are three external legs in the diagram.,3.0,4.0,False
12,diagram_100.png,How many internal edges are there in the diagram?,There are 12 internal edges in the diagram.,12.0,6.0,False
13,diagram_100.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.,3.0,5.0,False
14,diagram_100.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.,3.0,1.0,False
15,diagram_101.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.,2.0,1.0,False
16,diagram_101.png,How many external legs are there in the diagram?,There are two external legs in the diagram.,2.0,5.0,False
17,diagram_101.png,How many internal edges are there in the diagram?,There are two internal edges in the diagram.,2.0,3.0,False
18,diagram_101.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.,4.0,3.0,False
19,diagram_101.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram: Z and G.,2.0,2.0,True
20,diagram_102.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.,3.0,1.0,False
21,diagram_102.png,How many external legs are there in the diagram?,There are three external legs in the diagram.,3.0,5.0,False
22,diagram_102.png,How many internal edges are there in the diagram?,There are three internal edges in the diagram.,3.0,3.0,True
23,diagram_102.png,How many interaction vertices are there in the diagram?,There are three interaction vertices in the diagram.,3.0,3.0,True
24,diagram_102.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.,3.0,1.0,False
25,diagram_103.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.,2.0,1.0,False
