,image,text
0,A4,What is the content of this image?
1,A4,Does this image show a Feynman diagram?
2,A4,How many external legs are in this Feynman diagram?
3,A4,How many loops are in this Feynman diagram?
4,A4,How many internal edges are in this Feynman diagram?
5,A4,How many vertices are in this Feynman diagram?
6,A4,How many different particle types are in this Feynman diagram?
7,B4,What is the content of this image?
8,B4,Does this image show a Feynman diagram?
9,B4,How many external legs are in this Feynman diagram?
10,B4,How many loops are in this Feynman diagram?
11,B4,How many internal edges are in this Feynman diagram?
12,B4,How many vertices are in this Feynman diagram?
13,B4,How many different particle types are in this Feynman diagram?
14,parachute,What is the content of this image?
15,parachute,Does this image show a Feynman diagram?
16,parachute,How many external legs are in this Feynman diagram?
17,parachute,How many loops are in this Feynman diagram?
18,parachute,How many internal edges are in this Feynman diagram?
19,parachute,How many vertices are in this Feynman diagram?
20,parachute,How many different particle types are in this Feynman diagram?
21,acnode,What is the content of this image?
22,acnode,Does this image show a Feynman diagram?
23,acnode,How many external legs are in this Feynman diagram?
24,acnode,How many loops are in this Feynman diagram?
25,acnode,How many internal edges are in this Feynman diagram?
26,acnode,How many vertices are in this Feynman diagram?
27,acnode,How many different particle types are in this Feynman diagram?
28,envelope,What is the content of this image?
29,envelope,Does this image show a Feynman diagram?
30,envelope,How many external legs are in this Feynman diagram?
31,envelope,How many loops are in this Feynman diagram?
32,envelope,How many internal edges are in this Feynman diagram?
33,envelope,How many vertices are in this Feynman diagram?
34,envelope,How many different particle types are in this Feynman diagram?
35,nptrb,What is the content of this image?
36,nptrb,Does this image show a Feynman diagram?
37,nptrb,How many external legs are in this Feynman diagram?
38,nptrb,How many loops are in this Feynman diagram?
39,nptrb,How many internal edges are in this Feynman diagram?
40,nptrb,How many vertices are in this Feynman diagram?
41,nptrb,How many different particle types are in this Feynman diagram?
42,detri,What is the content of this image?
43,detri,Does this image show a Feynman diagram?
44,detri,How many external legs are in this Feynman diagram?
45,detri,How many loops are in this Feynman diagram?
46,detri,How many internal edges are in this Feynman diagram?
47,detri,How many vertices are in this Feynman diagram?
48,detri,How many different particle types are in this Feynman diagram?
49,debox,What is the content of this image?
50,debox,Does this image show a Feynman diagram?
51,debox,How many external legs are in this Feynman diagram?
52,debox,How many loops are in this Feynman diagram?
53,debox,How many internal edges are in this Feynman diagram?
54,debox,How many vertices are in this Feynman diagram?
55,debox,How many different particle types are in this Feynman diagram?
56,tdebox,What is the content of this image?
57,tdebox,Does this image show a Feynman diagram?
58,tdebox,How many external legs are in this Feynman diagram?
59,tdebox,How many loops are in this Feynman diagram?
60,tdebox,How many internal edges are in this Feynman diagram?
61,tdebox,How many vertices are in this Feynman diagram?
62,tdebox,How many different particle types are in this Feynman diagram?
63,ptrb,What is the content of this image?
64,ptrb,Does this image show a Feynman diagram?
65,ptrb,How many external legs are in this Feynman diagram?
66,ptrb,How many loops are in this Feynman diagram?
67,ptrb,How many internal edges are in this Feynman diagram?
68,ptrb,How many vertices are in this Feynman diagram?
69,ptrb,How many different particle types are in this Feynman diagram?
70,dbox,What is the content of this image?
71,dbox,Does this image show a Feynman diagram?
72,dbox,How many external legs are in this Feynman diagram?
73,dbox,How many loops are in this Feynman diagram?
74,dbox,How many internal edges are in this Feynman diagram?
75,dbox,How many vertices are in this Feynman diagram?
76,dbox,How many different particle types are in this Feynman diagram?
77,pentb,What is the content of this image?
78,pentb,Does this image show a Feynman diagram?
79,pentb,How many external legs are in this Feynman diagram?
80,pentb,How many loops are in this Feynman diagram?
81,pentb,How many internal edges are in this Feynman diagram?
82,pentb,How many vertices are in this Feynman diagram?
83,pentb,How many different particle types are in this Feynman diagram?
84,inner-dbox,What is the content of this image?
85,inner-dbox,Does this image show a Feynman diagram?
86,inner-dbox,How many external legs are in this Feynman diagram?
87,inner-dbox,How many loops are in this Feynman diagram?
88,inner-dbox,How many internal edges are in this Feynman diagram?
89,inner-dbox,How many vertices are in this Feynman diagram?
90,inner-dbox,How many different particle types are in this Feynman diagram?
91,outer-dbox,What is the content of this image?
92,outer-dbox,Does this image show a Feynman diagram?
93,outer-dbox,How many external legs are in this Feynman diagram?
94,outer-dbox,How many loops are in this Feynman diagram?
95,outer-dbox,How many internal edges are in this Feynman diagram?
96,outer-dbox,How many vertices are in this Feynman diagram?
97,outer-dbox,How many different particle types are in this Feynman diagram?
98,Hj,What is the content of this image?
99,Hj,Does this image show a Feynman diagram?
100,Hj,How many external legs are in this Feynman diagram?
101,Hj,How many loops are in this Feynman diagram?
102,Hj,How many internal edges are in this Feynman diagram?
103,Hj,How many vertices are in this Feynman diagram?
104,Hj,How many different particle types are in this Feynman diagram?
105,Bhabha-dbox,What is the content of this image?
106,Bhabha-dbox,Does this image show a Feynman diagram?
107,Bhabha-dbox,How many external legs are in this Feynman diagram?
108,Bhabha-dbox,How many loops are in this Feynman diagram?
109,Bhabha-dbox,How many internal edges are in this Feynman diagram?
110,Bhabha-dbox,How many vertices are in this Feynman diagram?
111,Bhabha-dbox,How many different particle types are in this Feynman diagram?
112,Bhabha2-dbox,What is the content of this image?
113,Bhabha2-dbox,Does this image show a Feynman diagram?
114,Bhabha2-dbox,How many external legs are in this Feynman diagram?
115,Bhabha2-dbox,How many loops are in this Feynman diagram?
116,Bhabha2-dbox,How many internal edges are in this Feynman diagram?
117,Bhabha2-dbox,How many vertices are in this Feynman diagram?
118,Bhabha2-dbox,How many different particle types are in this Feynman diagram?
119,Bhabha-npl-dbox,What is the content of this image?
120,Bhabha-npl-dbox,Does this image show a Feynman diagram?
121,Bhabha-npl-dbox,How many external legs are in this Feynman diagram?
122,Bhabha-npl-dbox,How many loops are in this Feynman diagram?
123,Bhabha-npl-dbox,How many internal edges are in this Feynman diagram?
124,Bhabha-npl-dbox,How many vertices are in this Feynman diagram?
