,image,text
0,diagram_1.png,How many independent loops are there in the diagram?
1,diagram_1.png,How many external legs are there in the diagram?
2,diagram_1.png,How many internal edges are there in the diagram?
3,diagram_1.png,How many interaction vertices are there in the diagram?
4,diagram_1.png,How many different kinds of particles are there in the diagram?
5,diagram_10.png,How many independent loops are there in the diagram?
6,diagram_10.png,How many external legs are there in the diagram?
7,diagram_10.png,How many internal edges are there in the diagram?
8,diagram_10.png,How many interaction vertices are there in the diagram?
9,diagram_10.png,How many different kinds of particles are there in the diagram?
10,diagram_100.png,How many independent loops are there in the diagram?
11,diagram_100.png,How many external legs are there in the diagram?
12,diagram_100.png,How many internal edges are there in the diagram?
13,diagram_100.png,How many interaction vertices are there in the diagram?
14,diagram_100.png,How many different kinds of particles are there in the diagram?
15,diagram_101.png,How many independent loops are there in the diagram?
16,diagram_101.png,How many external legs are there in the diagram?
17,diagram_101.png,How many internal edges are there in the diagram?
18,diagram_101.png,How many interaction vertices are there in the diagram?
19,diagram_101.png,How many different kinds of particles are there in the diagram?
20,diagram_102.png,How many independent loops are there in the diagram?
21,diagram_102.png,How many external legs are there in the diagram?
22,diagram_102.png,How many internal edges are there in the diagram?
23,diagram_102.png,How many interaction vertices are there in the diagram?
24,diagram_102.png,How many different kinds of particles are there in the diagram?
25,diagram_103.png,How many independent loops are there in the diagram?
26,diagram_103.png,How many external legs are there in the diagram?
27,diagram_103.png,How many internal edges are there in the diagram?
28,diagram_103.png,How many interaction vertices are there in the diagram?
29,diagram_103.png,How many different kinds of particles are there in the diagram?
30,diagram_104.png,How many independent loops are there in the diagram?
31,diagram_104.png,How many external legs are there in the diagram?
32,diagram_104.png,How many internal edges are there in the diagram?
33,diagram_104.png,How many interaction vertices are there in the diagram?
34,diagram_104.png,How many different kinds of particles are there in the diagram?
35,diagram_105.png,How many independent loops are there in the diagram?
36,diagram_105.png,How many external legs are there in the diagram?
37,diagram_105.png,How many internal edges are there in the diagram?
38,diagram_105.png,How many interaction vertices are there in the diagram?
39,diagram_105.png,How many different kinds of particles are there in the diagram?
40,diagram_106.png,How many independent loops are there in the diagram?
41,diagram_106.png,How many external legs are there in the diagram?
42,diagram_106.png,How many internal edges are there in the diagram?
43,diagram_106.png,How many interaction vertices are there in the diagram?
44,diagram_106.png,How many different kinds of particles are there in the diagram?
45,diagram_107.png,How many independent loops are there in the diagram?
46,diagram_107.png,How many external legs are there in the diagram?
47,diagram_107.png,How many internal edges are there in the diagram?
48,diagram_107.png,How many interaction vertices are there in the diagram?
49,diagram_107.png,How many different kinds of particles are there in the diagram?
50,diagram_108.png,How many independent loops are there in the diagram?
51,diagram_108.png,How many external legs are there in the diagram?
52,diagram_108.png,How many internal edges are there in the diagram?
53,diagram_108.png,How many interaction vertices are there in the diagram?
54,diagram_108.png,How many different kinds of particles are there in the diagram?
55,diagram_109.png,How many independent loops are there in the diagram?
56,diagram_109.png,How many external legs are there in the diagram?
57,diagram_109.png,How many internal edges are there in the diagram?
58,diagram_109.png,How many interaction vertices are there in the diagram?
59,diagram_109.png,How many different kinds of particles are there in the diagram?
60,diagram_11.png,How many independent loops are there in the diagram?
61,diagram_11.png,How many external legs are there in the diagram?
62,diagram_11.png,How many internal edges are there in the diagram?
63,diagram_11.png,How many interaction vertices are there in the diagram?
64,diagram_11.png,How many different kinds of particles are there in the diagram?
65,diagram_110.png,How many independent loops are there in the diagram?
66,diagram_110.png,How many external legs are there in the diagram?
67,diagram_110.png,How many internal edges are there in the diagram?
68,diagram_110.png,How many interaction vertices are there in the diagram?
69,diagram_110.png,How many different kinds of particles are there in the diagram?
70,diagram_111.png,How many independent loops are there in the diagram?
71,diagram_111.png,How many external legs are there in the diagram?
72,diagram_111.png,How many internal edges are there in the diagram?
73,diagram_111.png,How many interaction vertices are there in the diagram?
74,diagram_111.png,How many different kinds of particles are there in the diagram?
75,diagram_112.png,How many independent loops are there in the diagram?
76,diagram_112.png,How many external legs are there in the diagram?
77,diagram_112.png,How many internal edges are there in the diagram?
78,diagram_112.png,How many interaction vertices are there in the diagram?
79,diagram_112.png,How many different kinds of particles are there in the diagram?
80,diagram_113.png,How many independent loops are there in the diagram?
81,diagram_113.png,How many external legs are there in the diagram?
82,diagram_113.png,How many internal edges are there in the diagram?
83,diagram_113.png,How many interaction vertices are there in the diagram?
84,diagram_113.png,How many different kinds of particles are there in the diagram?
85,diagram_114.png,How many independent loops are there in the diagram?
86,diagram_114.png,How many external legs are there in the diagram?
87,diagram_114.png,How many internal edges are there in the diagram?
88,diagram_114.png,How many interaction vertices are there in the diagram?
89,diagram_114.png,How many different kinds of particles are there in the diagram?
90,diagram_115.png,How many independent loops are there in the diagram?
91,diagram_115.png,How many external legs are there in the diagram?
92,diagram_115.png,How many internal edges are there in the diagram?
93,diagram_115.png,How many interaction vertices are there in the diagram?
94,diagram_115.png,How many different kinds of particles are there in the diagram?
95,diagram_116.png,How many independent loops are there in the diagram?
96,diagram_116.png,How many external legs are there in the diagram?
97,diagram_116.png,How many internal edges are there in the diagram?
98,diagram_116.png,How many interaction vertices are there in the diagram?
99,diagram_116.png,How many different kinds of particles are there in the diagram?
100,diagram_117.png,How many independent loops are there in the diagram?
101,diagram_117.png,How many external legs are there in the diagram?
102,diagram_117.png,How many internal edges are there in the diagram?
103,diagram_117.png,How many interaction vertices are there in the diagram?
104,diagram_117.png,How many different kinds of particles are there in the diagram?
105,diagram_118.png,How many independent loops are there in the diagram?
106,diagram_118.png,How many external legs are there in the diagram?
107,diagram_118.png,How many internal edges are there in the diagram?
108,diagram_118.png,How many interaction vertices are there in the diagram?
109,diagram_118.png,How many different kinds of particles are there in the diagram?
110,diagram_119.png,How many independent loops are there in the diagram?
111,diagram_119.png,How many external legs are there in the diagram?
112,diagram_119.png,How many internal edges are there in the diagram?
113,diagram_119.png,How many interaction vertices are there in the diagram?
114,diagram_119.png,How many different kinds of particles are there in the diagram?
115,diagram_12.png,How many independent loops are there in the diagram?
116,diagram_12.png,How many external legs are there in the diagram?
117,diagram_12.png,How many internal edges are there in the diagram?
118,diagram_12.png,How many interaction vertices are there in the diagram?
119,diagram_12.png,How many different kinds of particles are there in the diagram?
120,diagram_120.png,How many independent loops are there in the diagram?
121,diagram_120.png,How many external legs are there in the diagram?
122,diagram_120.png,How many internal edges are there in the diagram?
123,diagram_120.png,How many interaction vertices are there in the diagram?
124,diagram_120.png,How many different kinds of particles are there in the diagram?
125,diagram_121.png,How many independent loops are there in the diagram?
126,diagram_121.png,How many external legs are there in the diagram?
127,diagram_121.png,How many internal edges are there in the diagram?
128,diagram_121.png,How many interaction vertices are there in the diagram?
129,diagram_121.png,How many different kinds of particles are there in the diagram?
130,diagram_122.png,How many independent loops are there in the diagram?
131,diagram_122.png,How many external legs are there in the diagram?
132,diagram_122.png,How many internal edges are there in the diagram?
133,diagram_122.png,How many interaction vertices are there in the diagram?
134,diagram_122.png,How many different kinds of particles are there in the diagram?
135,diagram_123.png,How many independent loops are there in the diagram?
136,diagram_123.png,How many external legs are there in the diagram?
137,diagram_123.png,How many internal edges are there in the diagram?
138,diagram_123.png,How many interaction vertices are there in the diagram?
139,diagram_123.png,How many different kinds of particles are there in the diagram?
140,diagram_124.png,How many independent loops are there in the diagram?
141,diagram_124.png,How many external legs are there in the diagram?
142,diagram_124.png,How many internal edges are there in the diagram?
143,diagram_124.png,How many interaction vertices are there in the diagram?
144,diagram_124.png,How many different kinds of particles are there in the diagram?
145,diagram_125.png,How many independent loops are there in the diagram?
146,diagram_125.png,How many external legs are there in the diagram?
147,diagram_125.png,How many internal edges are there in the diagram?
148,diagram_125.png,How many interaction vertices are there in the diagram?
149,diagram_125.png,How many different kinds of particles are there in the diagram?
150,diagram_126.png,How many independent loops are there in the diagram?
151,diagram_126.png,How many external legs are there in the diagram?
152,diagram_126.png,How many internal edges are there in the diagram?
153,diagram_126.png,How many interaction vertices are there in the diagram?
154,diagram_126.png,How many different kinds of particles are there in the diagram?
155,diagram_127.png,How many independent loops are there in the diagram?
156,diagram_127.png,How many external legs are there in the diagram?
157,diagram_127.png,How many internal edges are there in the diagram?
158,diagram_127.png,How many interaction vertices are there in the diagram?
159,diagram_127.png,How many different kinds of particles are there in the diagram?
160,diagram_128.png,How many independent loops are there in the diagram?
161,diagram_128.png,How many external legs are there in the diagram?
162,diagram_128.png,How many internal edges are there in the diagram?
163,diagram_128.png,How many interaction vertices are there in the diagram?
164,diagram_128.png,How many different kinds of particles are there in the diagram?
165,diagram_129.png,How many independent loops are there in the diagram?
166,diagram_129.png,How many external legs are there in the diagram?
167,diagram_129.png,How many internal edges are there in the diagram?
168,diagram_129.png,How many interaction vertices are there in the diagram?
169,diagram_129.png,How many different kinds of particles are there in the diagram?
170,diagram_13.png,How many independent loops are there in the diagram?
171,diagram_13.png,How many external legs are there in the diagram?
172,diagram_13.png,How many internal edges are there in the diagram?
173,diagram_13.png,How many interaction vertices are there in the diagram?
174,diagram_13.png,How many different kinds of particles are there in the diagram?
175,diagram_130.png,How many independent loops are there in the diagram?
176,diagram_130.png,How many external legs are there in the diagram?
177,diagram_130.png,How many internal edges are there in the diagram?
178,diagram_130.png,How many interaction vertices are there in the diagram?
179,diagram_130.png,How many different kinds of particles are there in the diagram?
180,diagram_131.png,How many independent loops are there in the diagram?
181,diagram_131.png,How many external legs are there in the diagram?
182,diagram_131.png,How many internal edges are there in the diagram?
183,diagram_131.png,How many interaction vertices are there in the diagram?
184,diagram_131.png,How many different kinds of particles are there in the diagram?
185,diagram_132.png,How many independent loops are there in the diagram?
186,diagram_132.png,How many external legs are there in the diagram?
187,diagram_132.png,How many internal edges are there in the diagram?
188,diagram_132.png,How many interaction vertices are there in the diagram?
189,diagram_132.png,How many different kinds of particles are there in the diagram?
190,diagram_133.png,How many independent loops are there in the diagram?
191,diagram_133.png,How many external legs are there in the diagram?
192,diagram_133.png,How many internal edges are there in the diagram?
193,diagram_133.png,How many interaction vertices are there in the diagram?
194,diagram_133.png,How many different kinds of particles are there in the diagram?
195,diagram_134.png,How many independent loops are there in the diagram?
196,diagram_134.png,How many external legs are there in the diagram?
197,diagram_134.png,How many internal edges are there in the diagram?
198,diagram_134.png,How many interaction vertices are there in the diagram?
